token,tag
Send email to Sarah at,O
sarah@example.com,B-email
token,tag
Please add a new contact with,O
newguy@company.org,B-email
as soon as possible,O
token,tag
Forward my messages to,O
john.doe@university.edu,B-email
token,tag
Search for a contact by email,O
marcus_wong88@webmail.net,B-email
and text him,O
token,tag
Send a reminder email to,O
reminder123@notify.me,B-email
token,tag
Draft an email for Emily at,O
emily@workspace.com,B-email
token,tag
Add Jane's email,O
jane_doe12@sample.org,B-email
in the contact list,O
token,tag
Let me know if you can reach,O
sam2024@domain.net,B-email
token,tag
Check if we have an address for,O
mario@plumber.io,B-email
token,tag
Send a quick update to,O
support@mycompany.com,B-email
thanks,O
token,tag
Email Mr. Thomson at,O
mr.thomson@corporate.com,B-email
token,tag
Message that contact,O
sonia-medical@clinic.org,B-email
they are waiting,O
token,tag
Could you attach the file and send to,O
uploadteam@fileshare.co,B-email
token,tag
Send birthday greetings to,O
bday_friend@celebrate.com,B-email
today please,O
token,tag
Update the contact with,O
harper@contacts.org,B-email
token,tag
Add a new appointment with,O
doctor@healthcare.net,B-email
tomorrow morning,O
token,tag
Send the invoice to,O
billing@financesvc.com,B-email
token,tag
Let me see if we have an email for,O
teamlead@project.co,B-email
token,tag
Send an urgent note to,O
urgent_inbox@notify.org,B-email
right now,O
token,tag
Create a new user with the address,O
admin@portal.xyz,B-email
token,tag
You should forward the meeting notes to,O
meetinghost@conference.com,B-email
token,tag
Find a contact for,O
networking@global.biz,B-email
token,tag
He said his email is,O
gavindoe@someplace.org,B-email
token,tag
Double-check the email,O
doublecheck@verification.co,B-email
token,tag
Link the email,O
newsletter@updates.info,B-email
to the mailing list,O
token,tag
Send a push notification to,O
pushuser123@notify.net,B-email
token,tag
Prepare a follow-up for,O
michael@engineering.dev,B-email
token,tag
Push out the code to,O
repo@versioncontrol.io,B-email
token,tag
Email the legal doc to,O
legaldept@lawfirm.biz,B-email
today,O
token,tag
Send a text message about discount to,O
discounted@promotions.org,B-email
token,tag
Forward group invitation to,O
group-invite@chatapp.com,B-email
ASAP,O
token,tag
They left their email as,O
leftover@unknown.net,B-email
token,tag
Add to contact list,O
mybuddy@friendmail.com,B-email
for future reference,O
token,tag
Reach out to the new vendor at,O
sales@vendorhub.io,B-email
token,tag
Update the board members at,O
board@enterprise.net,B-email
token,tag
Could you check the mailing list for,O
premium@members.co,B-email
token,tag
He uses,O
johnny.alpha@space.org,B-email
for personal,O
token,tag
Compose a request for,O
contract@lawoffice.me,B-email
token,tag
Send invitation to,O
invite@eventplanner.co,B-email
on Tuesday,O
